sentence,label
searching for a high quality olive oil for dipping,1
bed frame,1
what is the history of the silk road,0
i wish i could hold my breath underwater,0
dslr shoulder bag with adjustable dividers,1
how do i build a wooden bird feeder,0
e-ink digital calendar for smart home,1
what is the difference between a fruit and a veggie,0
my earbuds are out of battery already,0
heavyweight mock neck oversized tee,1
open back planar magnetic studio cans,1
i think this tshirt is too small for me now,0
the indoor plant needs more sunlight,0
laptop power bank with ac outlet,1
i used my bookstore gift card to buy this journal,0
xlarge rgb gaming mouse pad for desk,1
quilted liner vest with button closure,1
olive oil,1
the electric kettle is almost finished boiling,0
hey i should probably wash my denim jacket soon,0
i want to fold these white tshirts,0
yoga strap,1
can you recommend a good pair of noise-canceling headphones,1
wireless mechanical keyboard with knob,1
i’m trying a different brand of coffee for a change today,0
the microfiber cloth is filthy and needs a wash,0
laptop bag with water resistant coating,1
concentrated snail mucin essence for hydration,1
i was just thinking about the history of the denim jacket,0
i replaced the battery in the smoke alarm,0
the soccer ball got stuck in the tree,0
this moisturizer feels very greasy,0
the laundry detergent is under the sink,0
heavyweight loopback terry sweatshirt,1
i have enough apples to bake three pies,0
who was the composer of the ninth symphony,0
waxed cotton anorak for rainy days,1
mechanical switch opener for custom keyboards,1
skillet,1
hoping to get a tan this summer,0
compact tablet with stylus support for drawing,1
who wrote the play waiting for godot,0
how was the pyramids of giza built,0
what is the atomic number of oxygen,0
i am learning to identify different minerals,0
i am standing on a yoga block,0
good afternoon,0
what time is it now,0
want to buy a gift card for my friend,0
"i'm out of trash bags, gotta run to the store",1
full frame mirrorless camera with 10-bit video,1
dog food,1
ethernet cable cat8 for high speed,1
what is your favorite food,0
i enjoy reading books on ancient history,0
my skin gets so oily during the summer months,0
thinking about buying a whole new skincare set for my sister,1
the kitchen knife is very sharp be careful,0
how do i stay hydrated during the day,0
i am fluffing the bed pillows before i go to sleep,0
usb c to dual hdmi adapter for macbook,1
reusable grocery bag,1
can you show me some cool graphic tshirts,1
hello been thinking about getting into a better skincare routine,1
mechanical keyboard with pudding keycaps,1
considering taking a break from all this tech stuff,0
hello considering the traffic i should probably leave now,0
the toaster is full of crumbs and needs cleaning,0
vertical wireless mouse with silent clicks,1
i need to upgrade my monitor for work,1
technical cargo jacket with modular pockets,1
the laundry pods are under the sink,0
is there a shop that sells 144hz monitors,1
these bath towels are still wet from the laundry,0
corduroy button up shirt,1
the battery on my headphones dies so fast now,0
i am wearing a weighted vest for my walk,0
thinking about how loud mechanical keyboards can be,0
might grab some sunscreen before the trip starts,1
who wrote the book 1984,0
i really enjoy the taste of sourdough,0
internal sata ssd 4tb for media storage,1
can you find me a jacket with a lot of pockets,1
was contemplating the meaning of life this morning,0
laptop cooling pad with adjustable fan speed,1
i find bioluminescent plankton very cool,0
bluetooth 5.3 audio receiver for speakers,1
the vanity mirror,0
mic,1
under eye patches with caffeine and gold,1
classic trench coat with waist belt,1
how do i stay consistent with my habits,0
i love the weekend,0
i am fluffing the pillows on the couch,0
how do i learn to play the ukulele,0
what is the psychology behind color theory,0
the led light bulb in the hallway just burnt out,0
i find bioluminescent fungi very eerie,0
how do i learn to ride a horse,0
the screen on my monitor is so blurry today,0
vintage wool varsity jacket with leather trim,1
hey i think my laptop is finally starting to slow down,0
retinol cream for face,1
heavyweight mock neck long sleeve tee,1
i am hoping to find my parka in the closet,0
i find the sound of wind in trees peaceful,0
a bird started building a nest in the new bird house,0
considering buying a mechanical keyboard with silent switches,1
i forgot my canvas bag at the grocery store,0
webcam 1080p with privacy shutter,1
i lost my pickleball paddles at the park yesterday,0
want to upgrade my outdoor patio furniture,1
my monitor is way too bright for my eyes,0
i used too much retinol and now my face is red,0
kitchen knives,1
it seems like a good day for a long walk,0
i've been meaning to get a decent espresso machine,1
want to grab a bottle of maple syrup,1
gaming monitor 27 inch,1
apples,1
usb hub 4 ports,1
belstaff style waxed motorcycle jacket,1
usb-c to lightning braided cable 6ft,1
looking for a minimalist coffee table for the living room,1
do you sell any large wooden picture frames,1
how do mountains form over millions of years,0
who was the lead guitarist for queen,0
i am looking at the screen of my monitor,0
i am learning how to tune my guitar,0
i need to recycle these old batteries properly,0
i spilled coffee on the new rug,0
i really like the color of your jacket,0
want to upgrade my old hiking boots to waterproof ones,1
can you find me a lightweight moisturizer for the summer,1
need to buy some organic potting soil for my plants,1
considering how late it is i should probably stop gaming,0
how do i learn to play the harmonica,0
i should probably get a new jacket soon but i love this one,0
face wash,1
brightening serum with kojic acid,1
how do honeybees build their honeycombs,0
why do people have different accents,0
my gardening gloves are covered in dirt and mud,0
sherpa lined corduroy trucker jacket,1
who wrote the symphony number five in c minor,0
im looking for a boxy fit tshirt in black,1
hi im lookin for some noise cancelling buds,1
i am waiting for a friend,0
looking for a gaming mouse that works with mac,1
donate my rain coat,0
"we are all out of laundry pods, add that to the list",1
thunderbolt 4 cable for fast data transfer,1
i am considering learning a new martial art,0
the trash bags are in the pantry,0
"nothing in the fridge, let's go grab some steaks",1
tryna find some skincare for red patches,1
the keys on my laptop are starting to fade,0
i forgot to drink my protein shake,0
mechanical keyboard for mac,1
i spilled artisanal honey all over the counter,0
boxy fit waffle knit long sleeve top,1
i am trying to limit my caffeine intake,0
considering how much space this movie takes i should delete it,0
planning to purchase a high quality blender,1
hoping to find a set of glass storage containers,1
thinking about getting a new set of wine glasses,1
my headphones are making a weird buzzing noise,0
i really enjoy a bowl of hot ramen,0
considering buying a mechanical keyboard with silent switches,1
might pick up the pace if i want to finish this run,0
merino wool base layer long sleeve tee,1
faux fur trim parka,1
hydrating toner with rose water extract,1
trimmer,1
any recommendations for a fast charging usb c cable,1
i might go and grab a fresh white tee for the weekend,1
vertical ergonomic mouse with oled display,1
how do i stay focused while working,0
my duffel bag zipper is completely stuck again,0
foldable laptop desk with built in cooling,1
puffer coat,1
active noise cancelling earbuds with multipoint,1
i am sitting on my porch,0
macbook,1
rug,1
planning to grab a coffee before work,0
soothing aloe vera gel for sun relief,1
who was the first person to reach the south pole,0
box fit vintage black graphic tshirt,1
planning to buy some blackout curtains for the bedroom,1
non comedogenic facial oil for dry skin,1
the alarm clock woke me up too early,0
how do astronauts sleep in space,0
the dog leash is tangled around the chair,0
might look into how to repair the frayed cable on my keyboard,0
i should probably get a new jacket soon but i have three already,0
i am trying to learn a new dessert recipe,0
the bed sheets are fresh out of the dryer,0
my favorite tshirt has a huge stain on it now,0
the lighting in this room makes my skin look pale,0
my hiking boots are covered in dried mud,0
i am learning how to play backgammon,0
sneakers,1
tell me a fun fact,0
what is the fastest land animal,0
i want to upgrade my desk setup with a new mouse,1
oversized heavy cotton tee in cream,1
what are the basic rules of rugby,0
what is the coldest place on earth,0
considering buying a mechanical keyboard with brown switches,1
pore clearing toner with betaine salicylate,1
how do i learn to play the violin,0
oak dining table before the guests arrive,0
hyaluronic acid drops,1
thinking about getting a 4k monitor for my gaming setup,1
who was the original drummer for nirvana,0
if i drop my wireless buds one more time they are going to break,0
my wireless charger is not working,0
i am watching a movie,0
hello been thinking about getting some noise cancelling gear,1
i am weighing my suitcase on the luggage scale,0
i played with my tennis racket this morning,0
mechanical keyboard keycap set in pbt,1
do you like to read,0
i really like the smell of fresh rain,0
thinking about picking up a new rain shell for the commute,1
who invented the first printing press,0
i want a new moisturizer that doesnt feel greasy,1
ive been wanting to try a new face wash lately,1
tell me something about deep sea life,0
hi im thinking about buying a new gaming mouse,1
the flashlight is out of batteries and wont turn on,0
where can i get jaket for winter,1
hello considering the storm i think i will just stay home,0
what is the physics behind a rainbow,0
apples,1
i feel like going on a long road trip,0
i think i might need to buy a new charging block soon,1
i am just hanging out,0
can you recommend a good philosophy book,0
long sleeve thermal tee for layering,1
i think it is important to be kind,0
ergonomic split keyboard for wrist health,1
i need a new pair of wireless earbuds for the gym,1
i find tornados extremely powerful and scary,0
hdmi cable 6 feet,1
i dropped my moisturizer and the bottle broke,0
the weather is very nice,0
patio chairs,1
the alarm clock went off way too early today,0
i am wrapping my scarf around my neck,0
considering the price i think i'll just fix my keyboard,0
looking to replace my old tennis racket,1
shop lights,1
was debating if i should go to the gym or just nap,0
filled up my leather bound journal with notes today,0
heavyweight pigment dyed pocket tee shirt,1
i like to watch videos about woodworking,0
what is the largest island in the world,0
might look into getting a better webcam for calls,1
bluetooth speaker,1
do you like music,0
how do i learn to play the flute,0
i think its time i finally got a decent denim jacket,1
want to upgrade my headphones,1
i find the milky way galaxy so vast,0
mirrorless camera,1
who wrote the novel a tale of two cities,0
the ceramic butter dish is sitting on the counter,0
longline wool blend overcoat in camel,1
m65 field jacket with stowaway hood,1
need a face wash thats not too harsh,1
considering a new keyboard since mine is sticky,1
i saw a guy wearing a bright neon jacket today,0
my blender is making a very loud noise,0
the lighting in here is bad for photos,0
the bookshelves are organized alphabetically now,0
how do fireworks get their different colors,0
looking for a durable duffel bag for the gym,1
toaster,1
do you guys have any waterproof jackets,1
mirrorless camera cage for handheld filming,1
do you have any hooded windbreakers in stock,1
thick cotton tee with high neckline,1
who was the first person to orbit earth,0
i should probably get a new jacket soon but i cant afford it,0
how do i fix a squeaky door hinge,0
quilted vest with snap button closure,1
searching for a safe way to store sharp kitchen knives,1
alcohol free witch hazel toner for face,1
ring camera,1
my cast iron pot is starting to show some rust spots,0
want to upgrade my outdoor string lights,1
i am lost in thought,0
what is the capital city of brazil,0
what is the capital of sweden,0
looking for a moisturizer with spf in it,1
mattress,1
what is the largest lake in africa,0
towels,1
double breasted trench coat in beige,1
planning to buy a new cookbook for my mom as a gift,1
the battery on my headphones only lasts an hour now,0
i need to organize my skincare cabinet,0
hi do you carry any high speed usb c cables,1
bha liquid exfoliant for blackheads,1
do you sell any large black picture frames,1
i enjoy listening to classical piano,0
considering a technical windbreaker for the wind,1
i found a stain on my denim jacket this morning,0
i wonder how ancient people told time,0
"the pool is green, i definitely need some chlorine tabs",1
i find volcanic eruptions quite terrifying,0
it is very quiet here,0
gentle face cleanser,1
unisex oversized hoodie with kangaroo pocket,1
what are the tertiary colors in art,0
graphic pen tablet with 8192 pressure levels,1
thinking about how much i spent on skincare last year,0
can i buy a digital luggage scale here,1
might try to clean the coffee stain off my white tee,0
what is the furthest planet from the sun,0
who wrote the great gatsby,0
weighted blanket,1
hi my skin is so dry i think i need to drink more water,0
is there life on other planets in our galaxy,0
i poured some maple syrup over my pancakes,0
i am thinking of learning how to knit,0
suede bomber jacket with ribbed hem,1
any good cotton shirts that are heavyweight,1
looking to buy a pair of rubber boots for rain,1
been eyeing a few graphic tshirts to refresh my style,1
i've been wanting to get a smart watch for fitness,1
i am hoping to find my lost face serum,0
wireless charging pad with magsafe support,1
how do astronauts eat in zero gravity,0
might look for my earbuds in my backpack,0
laptop skin sticker for scratch protection,1
was debating if i should rearrange the icons on my monitor,0
hi my face is red because i stayed in the sun too long,0
charger 100w,1
noise cancelling gaming headset with boom mic,1
oversized heavy jersey tee in mustard,1
denim jacket,1
hey my keyboard is missing the escape key now,0
do u hv a towel for my face,0
i feel like driving to the mountains,0
who was the first woman to win a noble prize,0
mirrorless camera cage for rigging,1
merino wool crew neck,1
my jaket is ruined,0
i had a long day,0
i am wearing my warm winter hat today,0
i love the flavor of dark chocolate,0
my skin is acting up because of the stress,0
sunscreen spf 50,1
tell me about the mythology of phoenixes,0
i should probably buy a new waffle maker,1
what is the difference between a lizard and a salamander,0
out of apples so i better hit the grocery store,1
who discovered the concept of gravity,0
is there a heavy winter coat that isnt too bulky,1
where to get mechanical kb,1
full frame camera sensor loupe for cleaning,1
mohair oversized knit cardigan jacket,1
steam cleaner,1
any rechargeable flashlights that are actually bright,1
curved monitor,1
foam roller,1
tell me a myth about the constellations,0
dual monitor stand,1
sometimes it is nice to just sit in silence,0
bird feeder,1
drop shoulder raw edge jersey tee,1
hello im trying to find a boxy fit hoodie in black,1
the patio furniture is getting wet in the rain,0
v neck modal blend tshirt for comfort,1
planning to buy a reusable canvas grocery bag,1
hi the zipper on my hoodie is stuck on some thread,0
