query,price_min,price_max,price_currency,rating_min,rating_max,category,sort_type,sort_direction
need something decent for everyday wear under 35,,35,USD,,,,price,asc
show me stuff that people actually love,,,,4.5,,rating,desc,
anything good around 50 bucks,,50,USD,,,,price,asc
I want the cheapest thing you have,,,,,,price,asc,
looking for something rated 4 or above,,,,4.0,,rating,desc,
got a budget of about 80,,80,USD,,,,price,asc
want something people rave about,,,,4.7,,rating,desc,
not spending more than 120 today,,120,USD,,,,price,asc
show me the most popular stuff first,,,,4.0,,rating,desc,
just browsing no filters needed,,,,,,,,
something around 25 dollars or so,,25,USD,,,,price,asc
I want highly rated options only,,,,4.5,,rating,desc,
give me everything under 15,,15,USD,,,,price,asc
need a solid pick not too cheap not too expensive,40.0,150,USD,,,,price,asc
anything top rated and reasonably priced,,80,USD,4.3,,combined,asc,
show me what people love buying,,,,4.0,,rating,desc,
my budget is tight so keep it under 20,,20,USD,,,,price,asc
want something good but not insanely expensive,,200,USD,4.0,,combined,asc,
what are the most loved products right now,,,,4.5,,rating,desc,
looking for a bargain around 10 to 15 bucks,10.0,15,USD,,,,price,asc
I don't care about price just show best rated,,,,5.0,,rating,desc,
got roughly 60 dollars to spend,,60,USD,,,,price,asc
need something decent quality for under 40,,40,USD,4.0,,combined,asc,
show me low cost options first,,,,,,price,asc,
anything with great reviews and won't break the bank,,70,USD,4.2,,combined,asc,
I want the priciest things first,,,,,,price,desc,
my limit is 300 dollars,,300,USD,,,,price,asc
show me what has the best ratings overall,,,,4.8,,rating,desc,
something in the 200 to 400 range please,200.0,400,USD,,,,price,asc
want affordable and well reviewed options,,50,USD,4.0,,combined,asc,
got around 500 to spend,500.0,USD,,,,price,asc,
nothing over 25 please,,25,USD,,,,price,asc
show me top rated things first,,,,4.7,,rating,desc,
want the absolute best money can buy,,,,5.0,,rating,desc,
need something around 90 dollars or less,,90,USD,,,,price,asc
any good options under 8 bucks,,8,USD,,,,price,asc
I want to see high end expensive stuff,500.0,,USD,,,,price,desc
affordable but still good quality,,60,USD,4.1,,combined,asc,
price doesn't matter just show best first,,,,4.9,,rating,desc,
want something not too expensive maybe 150 or so,,150,USD,,,,price,asc
got a flexible budget around 250,250.0,USD,,,,price,asc,
show me cheap things with solid reviews,,30,USD,4.0,,combined,asc,
just want the cheapest available,,,,,,price,asc,
top quality regardless of cost,,,,4.8,,rating,desc,
need something around 50 with good reviews,,50,USD,4.0,,combined,asc,
anything premium above 800,800.0,,USD,,,,price,desc
nothing too expensive keep it around 45,,45,USD,,,,price,asc
show me what other buyers love most,,,,4.5,,rating,desc,
want good value somewhere between 30 and 100,30.0,100,USD,,,,price,asc
my total budget is around 175 dollars,,175,USD,,,,price,asc
need something reliable under 55,,55,USD,4.0,,combined,asc,
show best sellers first,,,,4.3,,rating,desc,
looking for premium picks over 600,600.0,,USD,,,,price,desc
anything well reviewed around 65 to 80 dollars,65.0,80,USD,4.0,,combined,price,asc
just show me everything no filters,,,,,,,,
need something under 12 bucks,,12,USD,,,,price,asc
want highly acclaimed products,,,,4.6,,rating,desc,
budget is 350 dollars,350.0,USD,,,,price,asc,
looking for excellent quality with great feedback,,,,4.8,,rating,desc,
anything between 100 and 200 dollars,100.0,200,USD,,,,price,asc
want something people consistently rate high,,,,4.4,,rating,desc,
show me options not exceeding 95,,95,USD,,,,price,asc
need quality stuff around 500 to 700,500.0,700,USD,4.5,,combined,price,asc
anything a customer would love under 40,,40,USD,4.3,,combined,asc,
show me the priciest first,,,,,,price,desc,
want something great but keep cost below 250,,250,USD,4.0,,combined,asc,
looking for budget friendly things around 18,,18,USD,,,,price,asc
give me well-rated items only,,,,4.5,,rating,desc,
got around 1000 dollars willing to spend,1000.0,USD,,,,price,asc,
need something cheap and cheerful under 7,,7,USD,,,,price,asc
want stuff that reviewers consistently praise,,,,4.6,,rating,desc,
looking for mid range options around 200,200.0,USD,,,,price,asc,
nothing under 50 show me better options,50.0,,USD,,,,price,asc
show me what has near perfect ratings,,,,4.9,,rating,desc,
need a good value option somewhere near 85,,85,USD,,,,price,asc
want the most reviewed and loved items,,,,4.5,,rating,desc,
anything around 400 to 600 dollars,400.0,600,USD,,,,price,asc
need cheap options not more than 22,,22,USD,,,,price,asc
just show high quality stuff regardless of price,,,,4.7,,rating,desc,
want something affordable below 35 but decent rated,,35,USD,4.0,,combined,asc,
show me luxurious expensive items,1000.0,,USD,,,,price,desc
